image_path,label,image_url
train/images/train_000000.jpg,0,https://http2.mlstatic.com/D_602260-MLB83448811156_042025-O.jpg
train/images/train_000001.jpg,0,https://http2.mlstatic.com/D_696827-MLB71886631859_092023-O.jpg
train/images/train_000002.jpg,1,https://http2.mlstatic.com/D_973064-CBT78644212992_092024-O.jpg
train/images/train_000003.jpg,0,https://http2.mlstatic.com/D_765627-MLB74445078703_022024-O.jpg
train/images/train_000004.jpg,0,https://http2.mlstatic.com/D_821121-MLB49379023639_032022-O.jpg
train/images/train_000005.jpg,0,https://http2.mlstatic.com/D_5562-MLA4472621352_062013-O.jpg
train/images/train_000006.jpg,1,https://http2.mlstatic.com/D_946013-MLA42917422940_072020-O.jpg
train/images/train_000007.jpg,0,https://http2.mlstatic.com/D_661280-CBT97826641572_112025-O.jpg
train/images/train_000008.jpg,0,https://http2.mlstatic.com/D_608033-MLC40833980675_022020-O.jpg
train/images/train_000009.jpg,1,https://http2.mlstatic.com/D_729606-CBT100444342115_122025-O.jpg
train/images/train_000010.jpg,1,https://http2.mlstatic.com/D_872536-MLB96198143640_102025-O.jpg
train/images/train_000011.jpg,0,https://http2.mlstatic.com/D_992358-MLB79356050756_092024-O.jpg
train/images/train_000012.jpg,0,https://http2.mlstatic.com/D_942399-MLM89362370057_082025-O.jpg
train/images/train_000013.jpg,0,https://http2.mlstatic.com/D_865159-MLB89721611417_082025-O.jpg
train/images/train_000014.jpg,0,https://http2.mlstatic.com/D_955264-MLA100164065420_122025-O.jpg
train/images/train_000015.jpg,0,https://http2.mlstatic.com/D_925397-MLB83417290436_042025-O.jpg
train/images/train_000016.jpg,1,https://http2.mlstatic.com/D_815217-MLC82533007312_032025-O.jpg
train/images/train_000017.jpg,0,https://http2.mlstatic.com/D_836198-MLM86098137107_062025-O.jpg
train/images/train_000018.jpg,0,https://http2.mlstatic.com/D_614186-MLM52153028224_102022-O.jpg
train/images/train_000019.jpg,0,https://http2.mlstatic.com/D_899156-MLM90559130470_082025-O.jpg
train/images/train_000020.jpg,0,https://http2.mlstatic.com/D_604578-MLB83272623010_042025-O.jpg
train/images/train_000021.jpg,1,https://http2.mlstatic.com/D_996700-MLA90282052798_082025-O.jpg
train/images/train_000022.jpg,0,https://http2.mlstatic.com/D_772158-MLB82123048773_012025-O.jpg
train/images/train_000023.jpg,0,https://http2.mlstatic.com/D_727541-MLB53300717675_012023-O.jpg
train/images/train_000024.jpg,0,https://http2.mlstatic.com/D_789138-MLB83206622865_032025-O.jpg
train/images/train_000025.jpg,0,https://http2.mlstatic.com/D_908502-MLB89665572075_082025-O.jpg
train/images/train_000026.jpg,1,https://http2.mlstatic.com/D_790262-MLA82314137063_022025-O.jpg
train/images/train_000027.jpg,0,https://http2.mlstatic.com/D_760997-MLB85677622500_062025-O.jpg
